train.size,percent.correct.labels,auc,percent.correct.intervals
4,17.7083333333333,0.961476725521669,17.7083333333333
5,96.875,0.987158908507223,96.875
6,96.875,0.983948635634029,96.875
7,92.7083333333333,0.926163723916533,92.7083333333333
8,92.7083333333333,0.945425361155698,92.7083333333333
9,92.7083333333333,0.879614767255217,92.7083333333333
10,92.7083333333333,0.881219903691814,92.7083333333333
11,94.7916666666667,0.876404494382023,94.7916666666667
12,92.7083333333333,0.886035313001605,92.7083333333333
13,92.7083333333333,0.924558587479936,92.7083333333333
14,92.7083333333333,0.868378812199037,92.7083333333333
15,71.875,0.86677367576244,71.875
16,73.9583333333333,0.86677367576244,73.9583333333334
17,69.7916666666667,0.926163723916533,69.7916666666667
18,70.8333333333333,0.935794542536116,70.8333333333334
19,96.875,0.975922953451043,96.875
20,96.875,0.975922953451043,96.875
21,96.875,0.972712680577849,96.875
22,96.875,0.969502407704655,96.875
23,96.875,0.969502407704655,96.875
24,96.875,0.969502407704655,96.875
25,96.875,0.969502407704655,96.875
26,96.875,0.969502407704655,96.875
27,96.875,0.972712680577849,96.875
28,96.875,0.975922953451043,96.875
29,96.875,0.975922953451043,96.875
30,96.875,0.974317817014446,96.875
31,96.875,0.972712680577849,96.875
32,96.875,0.963081861958266,96.875
33,96.875,0.961476725521669,96.875
34,96.875,0.961476725521669,96.875
35,96.875,0.961476725521669,96.875
36,96.875,0.961476725521669,96.875
37,96.875,0.961476725521669,96.875
38,96.875,0.961476725521669,96.875
39,96.875,0.961476725521669,96.875
40,96.875,0.961476725521669,96.875
41,59.375,0.879614767255217,59.375
42,96.875,0.983948635634029,96.875
43,55.2083333333333,0.959871589085072,55.2083333333333
44,59.375,0.884430176565008,59.375
45,59.375,0.884430176565008,59.375
46,47.9166666666667,0.932584269662921,47.9166666666667
47,59.375,0.884430176565008,59.375
48,61.4583333333333,0.879614767255217,61.4583333333333
49,53.125,0.961476725521669,53.125
50,59.375,0.887640449438202,59.375
51,46.875,0.980738362760835,46.875
52,59.375,0.876404494382023,59.375
53,60.4166666666667,0.881219903691814,60.4166666666667
54,59.375,0.882825040128411,59.375
55,59.375,0.879614767255217,59.375
56,59.375,0.884430176565008,59.375
57,69.7916666666667,0.813804173354735,69.7916666666667
58,60.4166666666667,0.876404494382023,59.375
59,60.4166666666667,0.884430176565008,59.375
60,61.4583333333333,0.889245585874799,61.4583333333333
